city,crop,season,soil_type,soil_ph,organic_carbon_pct,sand_pct,silt_pct,clay_pct,irrigation,fertilizer_used,fertilizer_type,N_req_kg_ha,P2O5_req_kg_ha,K2O_req_kg_ha,alt_crops,Type
Belagavi,Sugarcane,Summer,Black clayey,7.1,0.69,11,49,40,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,231,108,113,Potato; Tomato (Hybrid High-Demand); Sapota (Chikoo); Banana,Cash crop
Bidar,Rice (Paddy),Kharif,Alluvial (coastal),6.6,0.99,49,29,22,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,118,56,40,Cabbage; Chilli; Cauliflower; Brinjal (Eggplant),Cereal
Kodagu (Madikeri),Onion,Rabi,Sandy loam,5.9,1.13,53,33,14,Irrigated,Green manure (Sunnhemp) + FYM,Organic,117,47,121,Amla (Indian Gooseberry); Papaya; Capsicum (Bell Pepper),Vegetable
Ballari,Sorghum (Jowar),Kharif,Alluvial (coastal),6.5,0.8,46,43,11,Irrigated,FYM + Urea (split) + MOP,Mixed,107,46,39,Muskmelon; Cotton; Watermelon; Rice (Paddy),Cereal
Kolar,Pigeonpea (Tur),Kharif,Lateritic,6.8,0.45,40,45,15,Rainfed,12-32-16 + Urea + MOP,Inorganic,27,49,0,Blackgram (Urad); Greengram (Moong); Chickpea (Bengal gram); Groundnut,Pulse
Raichur,Rice (Paddy),Kharif,Black clayey,8.0,0.97,12,35,53,Irrigated,12-32-16 + Urea + MOP,Inorganic,126,65,41,Cabbage; Chilli; Cauliflower,Cereal
Hassan,Sorghum (Jowar),Rabi,Red loam,6.2,0.87,50,32,18,Rainfed,Urea + SSP + MOP,Inorganic,103,46,44,Muskmelon; Cotton; Watermelon; Rice (Paddy),Cereal
Mandya,Pigeonpea (Tur),Rabi,Red sandy loam,6.8,0.55,67,22,11,Irrigated,FYM + Rock phosphate + Wood ash,Organic,23,55,0,Blackgram (Urad); Greengram (Moong); Chickpea (Bengal gram); Groundnut,Pulse
Mandya,Sorghum (Jowar),Summer,Red loam,7.0,0.77,45,41,14,Rainfed,FYM (Farmyard Manure),Organic,96,47,41,Muskmelon; Cotton; Watermelon,Cereal
Mandya,Cotton,Rabi,Sandy loam,6.6,0.8,52,33,15,Irrigated,Urea + SSP + MOP,Inorganic,89,41,47,Muskmelon; Sorghum (Jowar); Okra (Bhindi),Cash crop
Hassan,Pearl Millet (Bajra),Summer,Red loam,6.0,0.43,62,27,11,Rainfed,20-20-0 + Urea,Inorganic,63,30,19,Ragi (Finger Millet); Coriander; Bottle Gourd,Cereal
Bengaluru,Groundnut,Summer,Lateritic,5.7,0.47,35,47,18,Rainfed,FYM + Rock phosphate + Wood ash,Organic,20,44,19,Chickpea (Bengal gram); Blackgram (Urad); Greengram (Moong); Green Peas,Oilseed
Haveri,Sorghum (Jowar),Kharif,Alluvial (coastal),6.4,0.63,46,43,11,Rainfed,Urea + DAP + MOP,Inorganic,103,48,38,Muskmelon; Cotton; Watermelon,Cereal
Yadgir,Sugarcane,Summer,Sandy loam,6.8,0.85,47,35,18,Irrigated,12-32-16 + Urea + MOP,Inorganic,252,104,125,Potato; Tomato (Hybrid High-Demand); Sapota (Chikoo); Banana,Cash crop
Bengaluru,Sunflower,Kharif,Black clayey,7.2,0.44,12,35,53,Rainfed,FYM + Rock phosphate + Wood ash,Organic,65,61,39,Bitter Gourd; Pumpkin; Ridge Gourd,Oilseed
Tumakuru,Potato,Rabi,Red sandy loam,6.1,1.11,54,27,19,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,188,88,117,Tomato (Hybrid High-Demand); Guava; Sugarcane,Vegetable
Hassan,Tomato,Summer,Lateritic,7.1,0.72,38,47,15,Rainfed,Green manure (Sunnhemp) + FYM,Organic,154,72,68,Capsicum (Bell Pepper); Brinjal (Eggplant); Guava; Maize,Vegetable
Bidar,Onion,Kharif,Lateritic,6.8,0.51,49,34,17,Rainfed,20-20-0 + Urea,Inorganic,117,48,135,Amla (Indian Gooseberry); Papaya; Capsicum (Bell Pepper); Tomato,Vegetable
Belagavi,Mustard,Rabi,Alluvial (coastal),7.2,0.61,53,27,20,Rainfed,CAN + DAP + MOP,Inorganic,87,40,36,Okra (Bhindi); Cotton; Pumpkin; Bottle Gourd,Oilseed
Yadgir,Sugarcane,Summer,Red loam,7.2,0.95,69,11,20,Irrigated,15-15-15 + Urea,Inorganic,269,95,119,Potato; Tomato (Hybrid High-Demand); Sapota (Chikoo); Banana,Cash crop
Kodagu (Madikeri),Sugarcane,Summer,Lateritic,6.2,1.13,51,38,11,Irrigated,Urea + SSP + MOP,Inorganic,235,91,128,Potato; Tomato (Hybrid High-Demand); Sapota (Chikoo),Cash crop
Vijayapura,Chilli,Summer,Alluvial (coastal),6.1,1.08,52,28,20,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,114,62,57,Cauliflower; Cabbage; Brinjal (Eggplant),Vegetable
Hassan,Onion,Summer,Lateritic,7.0,1.0,41,36,23,Irrigated,12-32-16 + Urea + MOP,Inorganic,128,55,125,Amla (Indian Gooseberry); Papaya; Capsicum (Bell Pepper),Vegetable
Bagalkote,Pigeonpea (Tur),Rabi,Red sandy loam,6.3,0.67,67,11,22,Irrigated,Urea + SSP + MOP,Inorganic,23,52,0,Blackgram (Urad); Greengram (Moong); Chickpea (Bengal gram),Pulse
Hassan,Sesame,Kharif,Sandy loam,6.8,0.56,62,28,10,Rainfed,FYM (Farmyard Manure),Organic,25,23,0,Greengram (Moong); Blackgram (Urad); Pigeonpea (Tur),Oilseed
Kalaburagi,Chickpea (Bengal gram),Rabi,Red sandy loam,6.0,1.11,59,19,22,Irrigated,20-20-0 + Urea,Inorganic,20,46,19,Groundnut; French Beans; Green Peas,Pulse
Belagavi,Greengram (Moong),Kharif,Sandy loam,6.5,0.92,52,27,21,Rainfed,FYM (Farmyard Manure),Organic,20,36,0,Blackgram (Urad); Pigeonpea (Tur); Sesame,Pulse
Ballari,Soybean,Kharif,Sandy loam,6.6,0.99,66,18,16,Irrigated,Green manure (Sunnhemp) + FYM,Organic,21,60,40,Green Peas; French Beans; Chickpea (Bengal gram); Groundnut,Oilseed
Vijayapura,Blackgram (Urad),Kharif,Black clayey,8.3,0.81,20,38,42,Irrigated,Urea + SSP + MOP,Inorganic,18,43,0,Greengram (Moong); Pigeonpea (Tur); Sesame; Groundnut,Pulse
Bengaluru,Sesame,Summer,Lateritic,6.3,0.45,53,28,19,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,25,27,0,Greengram (Moong); Blackgram (Urad); Pigeonpea (Tur),Oilseed
Udupi,Sesame,Summer,Alluvial (coastal),7.4,0.4,44,36,20,Irrigated,Green manure (Sunnhemp) + FYM,Organic,27,25,0,Greengram (Moong); Blackgram (Urad); Pigeonpea (Tur); Groundnut,Oilseed
Hubballi-Dharwad,Soybean,Kharif,Red loam,7.0,0.73,58,31,11,Irrigated,15-15-15 + Urea,Inorganic,21,59,40,Green Peas; French Beans; Chickpea (Bengal gram); Groundnut,Oilseed
Kodagu (Madikeri),Cotton,Rabi,Red sandy loam,5.6,0.57,46,40,14,Irrigated,FYM + Urea (split) + MOP,Mixed,98,44,48,Muskmelon; Sorghum (Jowar); Okra (Bhindi); Watermelon,Cash crop
Udupi,Groundnut,Summer,Alluvial (coastal),6.5,0.78,49,27,24,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,21,44,18,Chickpea (Bengal gram); Blackgram (Urad); Greengram (Moong),Oilseed
Mangaluru,Sunflower,Kharif,Sandy loam,6.1,1.19,69,15,16,Rainfed,FYM (Farmyard Manure),Organic,66,58,42,Bitter Gourd; Pumpkin; Ridge Gourd,Oilseed
Tumakuru,Rice (Paddy),Summer,Red loam,6.0,1.14,56,29,15,Rainfed,FYM + Rock phosphate + Wood ash,Organic,123,60,42,Cabbage; Chilli; Cauliflower; Brinjal (Eggplant),Cereal
Mangaluru,Sunflower,Kharif,Lateritic,6.9,0.79,35,45,20,Rainfed,CAN + DAP + MOP,Inorganic,61,57,39,Bitter Gourd; Pumpkin; Ridge Gourd; Bottle Gourd,Oilseed
Tumakuru,Chilli,Kharif,Red loam,7.0,1.09,68,12,20,Irrigated,12-32-16 + Urea + MOP,Inorganic,116,59,66,Cauliflower; Cabbage; Brinjal (Eggplant),Vegetable
Ballari,Sunflower,Kharif,Red sandy loam,7.1,1.19,51,32,17,Rainfed,15-15-15 + Urea,Inorganic,57,58,41,Bitter Gourd; Pumpkin; Ridge Gourd,Oilseed
Bidar,Pigeonpea (Tur),Rabi,Lateritic,6.6,0.49,54,26,20,Rainfed,15-15-15 + Urea,Inorganic,24,47,0,Blackgram (Urad); Greengram (Moong); Chickpea (Bengal gram); Groundnut,Pulse
Yadgir,Rice (Paddy),Rabi,Red loam,7.1,1.17,50,28,22,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,124,65,43,Cabbage; Chilli; Cauliflower; Brinjal (Eggplant),Cereal
Bidar,Mustard,Rabi,Lateritic,6.3,1.16,48,28,24,Rainfed,FYM + Urea (split) + MOP,Mixed,73,43,38,Okra (Bhindi); Cotton; Pumpkin,Oilseed
Haveri,Mustard,Rabi,Alluvial (coastal),6.4,0.66,54,29,17,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,82,39,39,Okra (Bhindi); Cotton; Pumpkin; Bottle Gourd,Oilseed
Shivamogga,Sesame,Kharif,Sandy loam,5.9,0.95,54,22,24,Rainfed,FYM (Farmyard Manure),Organic,23,27,0,Greengram (Moong); Blackgram (Urad); Pigeonpea (Tur); Groundnut,Oilseed
Mysuru,Groundnut,Kharif,Red loam,6.4,0.67,52,30,18,Irrigated,FYM (Farmyard Manure),Organic,18,38,20,Chickpea (Bengal gram); Blackgram (Urad); Greengram (Moong); Green Peas,Oilseed
Mysuru,Maize,Summer,Lateritic,6.7,0.73,37,46,17,Irrigated,FYM + Rock phosphate + Wood ash,Organic,163,74,43,Tomato; Capsicum (Bell Pepper); Rice (Paddy); Brinjal (Eggplant),Cereal
Gadag,Chickpea (Bengal gram),Rabi,Lateritic,7.0,1.09,46,34,20,Rainfed,20-20-0 + Urea,Inorganic,21,50,20,Groundnut; French Beans; Green Peas,Pulse
Hassan,Rice (Paddy),Rabi,Black clayey,7.9,0.89,15,45,40,Irrigated,12-32-16 + Urea + MOP,Inorganic,112,63,39,Cabbage; Chilli; Cauliflower,Cereal
Davanagere,Pigeonpea (Tur),Rabi,Red sandy loam,6.5,0.96,52,36,12,Rainfed,CAN + DAP + MOP,Inorganic,24,46,0,Blackgram (Urad); Greengram (Moong); Chickpea (Bengal gram),Pulse
Mangaluru,Mustard,Rabi,Alluvial (coastal),7.7,1.12,53,25,22,Rainfed,12-32-16 + Urea + MOP,Inorganic,87,42,42,Okra (Bhindi); Cotton; Pumpkin; Bottle Gourd,Oilseed
Mangaluru,Sunflower,Kharif,Red sandy loam,6.1,0.77,67,11,22,Irrigated,FYM + Rock phosphate + Wood ash,Organic,56,57,44,Bitter Gourd; Pumpkin; Ridge Gourd,Oilseed
Udupi,Rice (Paddy),Rabi,Black clayey,8.2,0.49,21,25,54,Irrigated,Urea + SSP + MOP,Inorganic,115,61,42,Cabbage; Chilli; Cauliflower,Cereal
Haveri,Chilli,Rabi,Black clayey,8.4,1.18,14,35,51,Irrigated,20-20-0 + Urea,Inorganic,122,66,56,Cauliflower; Cabbage; Brinjal (Eggplant); Rice (Paddy),Vegetable
Koppal,Chilli,Summer,Red sandy loam,7.1,0.88,46,42,12,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,110,55,61,Cauliflower; Cabbage; Brinjal (Eggplant),Vegetable
Koppal,Onion,Kharif,Alluvial (coastal),6.6,1.16,52,32,16,Rainfed,FYM + Urea (split) + MOP,Mixed,128,49,126,Amla (Indian Gooseberry); Papaya; Capsicum (Bell Pepper),Vegetable
Mangaluru,Rice (Paddy),Kharif,Red sandy loam,6.1,0.49,49,27,24,Irrigated,Urea + SSP + MOP,Inorganic,130,61,43,Cabbage; Chilli; Cauliflower,Cereal
Uttara Kannada (Karwar),Greengram (Moong),Summer,Red loam,7.1,0.83,45,38,17,Rainfed,FYM + Urea (split) + MOP,Mixed,20,39,0,Blackgram (Urad); Pigeonpea (Tur); Sesame; Groundnut,Pulse
Mandya,Sunflower,Kharif,Lateritic,6.5,0.58,47,30,23,Rainfed,Vermicompost + DAP (basal) + Urea (topdress),Mixed,61,62,43,Bitter Gourd; Pumpkin; Ridge Gourd,Oilseed
Haveri,Onion,Kharif,Sandy loam,6.1,1.0,64,16,20,Irrigated,Urea + SSP + MOP,Inorganic,119,50,118,Amla (Indian Gooseberry); Papaya; Capsicum (Bell Pepper),Vegetable
Shivamogga,Pigeonpea (Tur),Kharif,Sandy loam,7.0,0.46,59,26,15,Irrigated,Vermicompost + Neem cake,Organic,24,54,0,Blackgram (Urad); Greengram (Moong); Chickpea (Bengal gram); Groundnut,Pulse
Mangaluru,Mustard,Rabi,Red loam,6.8,0.41,69,20,11,Rainfed,Urea + SSP + MOP,Inorganic,75,43,43,Okra (Bhindi); Cotton; Pumpkin; Bottle Gourd,Oilseed
Vijayapura,Sunflower,Summer,Sandy loam,7.0,0.75,57,29,14,Irrigated,FYM + Rock phosphate + Wood ash,Organic,56,55,38,Bitter Gourd; Pumpkin; Ridge Gourd; Bottle Gourd,Oilseed
Bengaluru,Mustard,Rabi,Lateritic,6.4,0.6,48,31,21,Irrigated,FYM + Urea (split) + MOP,Mixed,74,38,36,Okra (Bhindi); Cotton; Pumpkin; Bottle Gourd,Oilseed
Gadag,Pigeonpea (Tur),Summer,Lateritic,7.2,0.49,54,24,22,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,24,46,0,Blackgram (Urad); Greengram (Moong); Chickpea (Bengal gram),Pulse
Hassan,Greengram (Moong),Rabi,Red loam,6.3,1.15,52,37,11,Rainfed,15-15-15 + Urea,Inorganic,20,44,0,Blackgram (Urad); Pigeonpea (Tur); Sesame,Pulse
Mandya,Rice (Paddy),Rabi,Lateritic,6.7,1.05,42,38,20,Irrigated,Green manure (Sunnhemp) + FYM,Organic,110,59,36,Cabbage; Chilli; Cauliflower,Cereal
Tumakuru,Pearl Millet (Bajra),Kharif,Red sandy loam,7.0,0.96,45,38,17,Rainfed,FYM + Rock phosphate + Wood ash,Organic,58,31,21,Ragi (Finger Millet); Coriander; Bottle Gourd; Ridge Gourd,Cereal
Belagavi,Onion,Rabi,Black clayey,7.5,0.98,21,39,40,Irrigated,FYM + Urea (split) + MOP,Mixed,134,49,125,Amla (Indian Gooseberry); Papaya; Capsicum (Bell Pepper); Tomato,Vegetable
Hubballi-Dharwad,Sorghum (Jowar),Kharif,Lateritic,6.2,1.11,39,42,19,Irrigated,FYM (Farmyard Manure),Organic,109,47,36,Muskmelon; Cotton; Watermelon,Cereal
Ballari,Rice (Paddy),Rabi,Sandy loam,6.1,1.09,61,28,11,Irrigated,15-15-15 + Urea,Inorganic,114,61,37,Cabbage; Chilli; Cauliflower,Cereal
Chikkamagaluru,Sorghum (Jowar),Rabi,Black clayey,7.7,0.61,19,32,49,Rainfed,CAN + DAP + MOP,Inorganic,96,53,44,Muskmelon; Cotton; Watermelon; Rice (Paddy),Cereal
Vijayapura,Sesame,Rabi,Red loam,6.5,0.82,48,40,12,Rainfed,Vermicompost + DAP (basal) + Urea (topdress),Mixed,23,23,0,Greengram (Moong); Blackgram (Urad); Pigeonpea (Tur); Groundnut,Oilseed
Koppal,Chickpea (Bengal gram),Rabi,Black clayey,7.4,1.07,15,45,40,Rainfed,FYM (Farmyard Manure),Organic,21,53,19,Groundnut; French Beans; Green Peas,Pulse
Dakshina Kannada (Puttur),Tomato,Kharif,Black clayey,8.0,0.96,16,27,57,Irrigated,Urea + DAP + MOP,Inorganic,136,72,78,Capsicum (Bell Pepper); Brinjal (Eggplant); Guava,Vegetable
Hubballi-Dharwad,Ragi (Finger Millet),Summer,Black clayey,8.0,0.57,23,27,50,Rainfed,12-32-16 + Urea + MOP,Inorganic,63,32,29,Coriander; Pearl Millet (Bajra); Bottle Gourd; Ridge Gourd,Cereal
Chikkamagaluru,Onion,Rabi,Red sandy loam,5.9,0.4,59,22,19,Irrigated,Urea + DAP + MOP,Inorganic,124,46,137,Amla (Indian Gooseberry); Papaya; Capsicum (Bell Pepper); Tomato,Vegetable
Bagalkote,Potato,Kharif,Sandy loam,6.4,0.65,62,15,23,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,189,94,123,Tomato (Hybrid High-Demand); Guava; Sugarcane; Amla (Indian Gooseberry),Vegetable
Hassan,Chilli,Kharif,Sandy loam,5.8,0.68,65,11,24,Irrigated,Urea + DAP + MOP,Inorganic,131,63,54,Cauliflower; Cabbage; Brinjal (Eggplant),Vegetable
Ballari,Mustard,Rabi,Black clayey,7.8,0.81,23,20,57,Irrigated,15-15-15 + Urea,Inorganic,72,37,38,Okra (Bhindi); Cotton; Pumpkin,Oilseed
Koppal,Sunflower,Rabi,Sandy loam,6.6,0.5,58,31,11,Rainfed,15-15-15 + Urea,Inorganic,56,59,36,Bitter Gourd; Pumpkin; Ridge Gourd,Oilseed
Bagalkote,Pearl Millet (Bajra),Kharif,Red sandy loam,6.4,0.86,62,22,16,Rainfed,Urea + SSP + MOP,Inorganic,56,33,21,Ragi (Finger Millet); Coriander; Bottle Gourd; Ridge Gourd,Cereal
Bidar,Mustard,Rabi,Lateritic,5.6,0.96,39,42,19,Irrigated,Vermicompost + Neem cake,Organic,73,41,42,Okra (Bhindi); Cotton; Pumpkin,Oilseed
Belagavi,Potato,Kharif,Red sandy loam,6.4,0.99,53,27,20,Irrigated,CAN + DAP + MOP,Inorganic,192,99,128,Tomato (Hybrid High-Demand); Guava; Sugarcane; Amla (Indian Gooseberry),Vegetable
Vijayapura,Soybean,Rabi,Black clayey,8.2,1.0,16,35,49,Rainfed,Urea + DAP + MOP,Inorganic,21,60,37,Green Peas; French Beans; Chickpea (Bengal gram),Oilseed
Udupi,Blackgram (Urad),Summer,Alluvial (coastal),7.7,1.14,39,45,16,Rainfed,FYM (Farmyard Manure),Organic,22,42,0,Greengram (Moong); Pigeonpea (Tur); Sesame; Groundnut,Pulse
Vijayapura,Ragi (Finger Millet),Rabi,Black clayey,7.2,0.71,15,43,42,Irrigated,20-20-0 + Urea,Inorganic,57,29,28,Coriander; Pearl Millet (Bajra); Bottle Gourd; Ridge Gourd,Cereal
Mangaluru,Sunflower,Kharif,Lateritic,7.1,0.64,49,27,24,Irrigated,FYM + Urea (split) + MOP,Mixed,55,58,41,Bitter Gourd; Pumpkin; Ridge Gourd,Oilseed
Chikkamagaluru,Chickpea (Bengal gram),Rabi,Red sandy loam,7.0,0.55,61,23,16,Rainfed,FYM (Farmyard Manure),Organic,19,50,19,Groundnut; French Beans; Green Peas; Pigeonpea (Tur),Pulse
Ramanagara,Mustard,Rabi,Red loam,6.6,0.83,55,32,13,Irrigated,Green manure (Sunnhemp) + FYM,Organic,77,37,43,Okra (Bhindi); Cotton; Pumpkin; Bottle Gourd,Oilseed
Hassan,Soybean,Kharif,Red sandy loam,6.8,0.8,58,24,18,Rainfed,20-20-0 + Urea,Inorganic,20,62,36,Green Peas; French Beans; Chickpea (Bengal gram),Oilseed
Uttara Kannada (Karwar),Greengram (Moong),Kharif,Alluvial (coastal),7.3,1.02,42,40,18,Rainfed,Urea + DAP + MOP,Inorganic,18,42,0,Blackgram (Urad); Pigeonpea (Tur); Sesame,Pulse
Shivamogga,Tomato,Kharif,Sandy loam,6.3,0.61,55,21,24,Rainfed,FYM + Urea (split) + MOP,Mixed,151,76,81,Capsicum (Bell Pepper); Brinjal (Eggplant); Guava; Maize,Vegetable
Kodagu (Madikeri),Tomato (Hybrid High-Demand),Summer,Lateritic,6.2,0.79,48,30,22,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,168,81,89,Guava; Potato; Tomato; Capsicum (Bell Pepper),Vegetable
Chikkaballapura,Capsicum (Bell Pepper),Summer,Lateritic,6.7,0.49,47,30,23,Irrigated,15-15-15 + Urea,Inorganic,135,75,82,Tomato; Brinjal (Eggplant); Cauliflower,Vegetable
Bengaluru,Carrot,Rabi,Red sandy loam,7.1,1.19,69,13,18,Irrigated,15-15-15 + Urea,Inorganic,86,64,56,Cucumber; Beetroot; Muskmelon,Vegetable
Mysuru,Cabbage,Rabi,Sandy loam,5.8,0.56,68,11,21,Rainfed,12-32-16 + Urea + MOP,Inorganic,127,54,65,Cauliflower; Chilli; Brinjal (Eggplant),Vegetable
Vijayapura,Spinach,Kharif,Red loam,6.3,0.72,68,22,10,Irrigated,Vermicompost + Neem cake,Organic,54,37,42,Ridge Gourd; Bottle Gourd; Pumpkin; Coriander,Vegetable
Udupi,Carrot,Rabi,Lateritic,6.3,0.94,36,54,10,Irrigated,Vermicompost + Neem cake,Organic,86,63,61,Cucumber; Beetroot; Muskmelon,Vegetable
Raichur,Jackfruit,Rabi,Red loam,5.6,0.66,66,14,20,Irrigated,15-15-15 + Urea,Inorganic,199,99,196,Banana; Sapota (Chikoo); Pomegranate; Potato,Fruit
Kalaburagi,Coriander,Kharif,Sandy loam,6.8,0.85,45,33,22,Irrigated,Vermicompost + Neem cake,Organic,55,29,32,Ragi (Finger Millet); Bottle Gourd; Pearl Millet (Bajra),Vegetable
Bagalkote,Papaya,Kharif,Lateritic,6.7,0.45,43,44,13,Irrigated,FYM (Farmyard Manure),Organic,153,49,140,Amla (Indian Gooseberry); Onion; Potato; Guava,Fruit
